source_id,source_type,cartesian_y,cartesian_x
j1808.2+3500,AGN,115.0,67.0
j1808.8+3522,AGN,115.0,62.0
j1813.5+3144,AGN,89.0,102.0
j1814.0+3828,AGN,115.0,20.0
j1814.4+2953,AGN,79.0,124.0
j1820.3+3624,AGN,91.0,40.0
j1827.4+3424,AGN,65.0,58.0
j1828.7+3230,AGN,53.0,79.0
j1831.9+3820,AGN,72.0,6.0
j1834.2+3136,AGN,35.0,85.0
j1836.4+3137,AGN,30.0,82.0
j1840.5+3707,AGN,46.0,13.0
j1841.3+2909,AGN,5.0,107.0
j1841.8+3218,AGN,19.0,69.0
j1848.4+3217,AGN,3.0,62.0
j1848.5+3243,AGN,5.0,57.0
j1851.5+3406,AGN,4.0,37.0
