source_id,source_type,cartesian_y,cartesian_x
AGN_34,AGN,20.0,0.0
AGN_209,AGN,14.0,18.0
AGN_234,AGN,47.0,52.0
AGN_245,AGN,12.0,15.0
AGN_716,AGN,53.0,49.0
AGN_729,AGN,18.0,23.0
AGN_919,AGN,22.0,21.0
AGN_1001,AGN,42.0,38.0
AGN_1030,AGN,29.0,28.0
AGN_1863,AGN,37.0,52.0
AGN_1953,AGN,36.0,17.0
AGN_2002,AGN,41.0,27.0
AGN_2045,AGN,39.0,42.0
AGN_2397,AGN,1.0,54.0
AGN_2605,AGN,21.0,44.0
AGN_2692,AGN,63.0,27.0
AGN_3703,AGN,58.0,21.0
AGN_3898,AGN,17.0,5.0
AGN_4769,AGN,63.0,37.0
AGN_6047,AGN,28.0,18.0
AGN_6213,AGN,9.0,56.0
