source_id,source_type,cartesian_y,cartesian_x
AGN_160,AGN,28.0,6.0
AGN_513,AGN,32.0,28.0
AGN_1075,AGN,12.0,54.0
AGN_1143,AGN,55.0,62.0
AGN_1321,AGN,40.0,22.0
AGN_1817,AGN,55.0,13.0
AGN_2317,AGN,17.0,53.0
AGN_2378,AGN,34.0,1.0
AGN_3204,AGN,42.0,57.0
AGN_3271,AGN,20.0,31.0
AGN_3333,AGN,31.0,3.0
AGN_3679,AGN,57.0,26.0
AGN_3816,AGN,50.0,49.0
AGN_3967,AGN,11.0,11.0
AGN_4021,AGN,4.0,61.0
AGN_4175,AGN,33.0,15.0
AGN_4228,AGN,24.0,1.0
AGN_4810,AGN,41.0,34.0
AGN_5459,AGN,14.0,55.0
AGN_5984,AGN,9.0,21.0
AGN_6019,AGN,46.0,32.0
AGN_6111,AGN,7.0,49.0
