source_id,source_type,cartesian_y,cartesian_x
j1416.0+3443,AGN,115.0,44.0
j1418.4+3543,AGN,106.0,33.0
j1422.5+3223,AGN,104.0,77.0
j1423.1+3738,AGN,89.0,11.0
j1424.1+2917,AGN,108.0,117.0
j1424.5+3433,AGN,94.0,51.0
j1424.5+3705,AGN,87.0,19.0
j1425.0+3615,AGN,88.0,30.0
j1426.1+3403,AGN,91.0,58.0
j1426.4+3625,AGN,84.0,28.0
j1430.5+3647,AGN,73.0,26.0
j1438.4+2924,AGN,69.0,122.0
j1438.9+3710,AGN,51.0,25.0
j1446.3+3111,AGN,43.0,103.0
j1448.0+3608,AGN,30.0,41.0
j1453.5+3505,AGN,17.0,57.0
j1458.6+3722,AGN,1.0,29.0
