source_id,source_type,cartesian_y,cartesian_x
AGN_27,AGN,60.0,24.0
AGN_206,AGN,60.0,14.0
AGN_429,AGN,56.0,2.0
AGN_565,AGN,42.0,18.0
AGN_623,AGN,32.0,59.0
AGN_927,AGN,15.0,4.0
AGN_997,AGN,49.0,48.0
AGN_1807,AGN,54.0,62.0
AGN_1935,AGN,24.0,34.0
AGN_1949,AGN,41.0,54.0
AGN_2139,AGN,23.0,30.0
AGN_2328,AGN,56.0,62.0
AGN_2372,AGN,59.0,44.0
AGN_2914,AGN,17.0,11.0
AGN_2929,AGN,4.0,42.0
AGN_3702,AGN,47.0,52.0
AGN_3789,AGN,27.0,48.0
AGN_5060,AGN,50.0,39.0
AGN_5690,AGN,29.0,61.0
AGN_5883,AGN,57.0,47.0
AGN_6261,AGN,49.0,19.0
AGN_6669,AGN,36.0,19.0
AGN_6976,AGN,50.0,1.0
AGN_7038,AGN,55.0,35.0
AGN_7509,AGN,32.0,22.0
AGN_7521,AGN,43.0,17.0
AGN_7543,AGN,10.0,13.0
