source_id,source_type,cartesian_y,cartesian_x
AGN_199,AGN,117.0,67.0
AGN_494,AGN,89.0,68.0
AGN_682,AGN,6.0,51.0
AGN_1733,AGN,114.0,20.0
AGN_2133,AGN,85.0,42.0
AGN_2189,AGN,80.0,81.0
AGN_2260,AGN,91.0,8.0
AGN_2501,AGN,52.0,45.0
AGN_2855,AGN,108.0,14.0
AGN_3182,AGN,69.0,6.0
AGN_3238,AGN,108.0,105.0
AGN_3442,AGN,27.0,96.0
AGN_3962,AGN,85.0,11.0
AGN_4020,AGN,74.0,102.0
AGN_5221,AGN,50.0,64.0
AGN_6149,AGN,43.0,74.0
AGN_6165,AGN,52.0,67.0
AGN_6586,AGN,22.0,117.0
AGN_6628,AGN,33.0,59.0
AGN_6793,AGN,26.0,113.0
