source_id,source_type,cartesian_y,cartesian_x
j1127.4+5648,AGN,21.0,2.0
j1131.4+5809,AGN,9.0,16.0
j1139.0+5530,AGN,45.0,13.0
j1145.6+5552,AGN,46.0,25.0
j1149.0+5924,AGN,7.0,49.0
j1151.5+5859,AGN,14.0,51.0
j1153.4+4931,AGN,127.0,7.0
j1202.9+5141,AGN,108.0,35.0
j1203.1+6031,AGN,2.0,75.0
j1203.7+5821,AGN,29.0,67.0
j1208.9+5441,AGN,76.0,59.0
j1213.0+5129,AGN,117.0,53.0
j1215.0+5351,AGN,90.0,67.0
j1219.9+6056,AGN,6.0,102.0
j1226.0+5622,AGN,65.0,95.0
j1227.8+6053,AGN,10.0,114.0
j1229.1+5521,AGN,79.0,97.0
