source_id,source_type,cartesian_y,cartesian_x
AGN_1188,AGN,26.0,39.0
AGN_1511,AGN,28.0,34.0
AGN_2463,AGN,45.0,54.0
AGN_2937,AGN,58.0,41.0
AGN_3149,AGN,17.0,40.0
AGN_3214,AGN,45.0,24.0
AGN_3395,AGN,63.0,15.0
AGN_4481,AGN,41.0,59.0
AGN_4674,AGN,8.0,22.0
AGN_4893,AGN,47.0,31.0
AGN_5487,AGN,57.0,53.0
AGN_5795,AGN,54.0,33.0
AGN_5925,AGN,25.0,5.0
AGN_6548,AGN,35.0,1.0
AGN_6555,AGN,52.0,8.0
AGN_6675,AGN,33.0,16.0
AGN_7172,AGN,52.0,22.0
AGN_7465,AGN,38.0,58.0
AGN_7530,AGN,54.0,63.0
AGN_7534,AGN,54.0,23.0
AGN_7559,AGN,6.0,38.0
AGN_7607,AGN,34.0,25.0
