source_id,source_type,cartesian_y,cartesian_x
AGN_478,AGN,67.0,19.0
AGN_636,AGN,61.0,107.0
AGN_659,AGN,114.0,59.0
AGN_991,AGN,31.0,59.0
AGN_1121,AGN,49.0,51.0
AGN_1173,AGN,6.0,36.0
AGN_1628,AGN,116.0,111.0
AGN_1703,AGN,57.0,7.0
AGN_1928,AGN,11.0,96.0
AGN_2190,AGN,57.0,54.0
AGN_2640,AGN,105.0,117.0
AGN_2670,AGN,8.0,84.0
AGN_2962,AGN,88.0,41.0
AGN_3317,AGN,98.0,6.0
AGN_3384,AGN,127.0,66.0
AGN_4085,AGN,32.0,1.0
AGN_4214,AGN,11.0,100.0
AGN_4307,AGN,30.0,85.0
AGN_4539,AGN,57.0,57.0
AGN_4700,AGN,39.0,47.0
