source_id,source_type,cartesian_y,cartesian_x
j2148.9-0121,AGN,94.0,127.0
j2153.1-0041,AGN,89.0,112.0
j2156.3-0036,AGN,82.0,104.0
j2200.6+0232,AGN,96.0,64.0
j2204.3+0438,AGN,104.0,36.0
j2206.8-0032,AGN,56.0,83.0
j2207.6+0053,AGN,66.0,67.0
j2208.2+0350,AGN,88.0,36.0
j2209.7-0451,AGN,14.0,120.0
j2210.9-0026,AGN,47.0,73.0
j2211.0-0003,AGN,49.0,69.0
j2215.4+0544,AGN,85.0,3.0
j2223.3+0102,AGN,28.0,33.0
j2224.5+0353,AGN,48.0,3.0
j2226.6+0210,AGN,29.0,16.0
j2226.8+0051,AGN,18.0,28.0
j2227.9+0036,AGN,13.0,29.0
