source_id,source_type,cartesian_y,cartesian_x
AGN_997,AGN,12.0,5.0
AGN_1807,AGN,13.0,20.0
AGN_1949,AGN,4.0,8.0
AGN_2328,AGN,15.0,21.0
AGN_2372,AGN,23.0,5.0
AGN_2882,AGN,36.0,17.0
AGN_3066,AGN,30.0,17.0
AGN_3096,AGN,21.0,41.0
AGN_3250,AGN,23.0,58.0
AGN_3702,AGN,9.0,8.0
AGN_4577,AGN,39.0,16.0
AGN_4618,AGN,59.0,27.0
AGN_5535,AGN,2.0,19.0
AGN_5883,AGN,20.0,6.0
AGN_6457,AGN,52.0,11.0
AGN_6780,AGN,62.0,19.0
AGN_6815,AGN,18.0,57.0
AGN_7120,AGN,37.0,2.0
AGN_7252,AGN,14.0,54.0
AGN_7416,AGN,49.0,8.0
AGN_7637,AGN,38.0,34.0
