source_id,source_type,cartesian_y,cartesian_x
AGN_29,AGN,49.0,29.0
AGN_721,AGN,19.0,49.0
AGN_998,AGN,84.0,79.0
AGN_1157,AGN,49.0,50.0
AGN_1569,AGN,55.0,16.0
AGN_1669,AGN,54.0,115.0
AGN_1773,AGN,44.0,31.0
AGN_2062,AGN,54.0,95.0
AGN_3446,AGN,87.0,73.0
AGN_3467,AGN,95.0,92.0
AGN_3549,AGN,107.0,10.0
AGN_4327,AGN,86.0,117.0
AGN_4586,AGN,29.0,92.0
AGN_4673,AGN,86.0,33.0
AGN_4688,AGN,21.0,116.0
AGN_4777,AGN,57.0,108.0
AGN_4875,AGN,36.0,64.0
AGN_5434,AGN,60.0,30.0
AGN_5789,AGN,30.0,44.0
AGN_7079,AGN,79.0,54.0
