source_id,source_type,cartesian_y,cartesian_x
AGN_106,AGN,16.0,17.0
AGN_310,AGN,21.0,0.0
AGN_649,AGN,30.0,40.0
AGN_673,AGN,9.0,30.0
AGN_963,AGN,47.0,23.0
AGN_985,AGN,56.0,1.0
AGN_2263,AGN,23.0,53.0
AGN_2913,AGN,18.0,50.0
AGN_3010,AGN,24.0,12.0
AGN_3047,AGN,4.0,55.0
AGN_3945,AGN,7.0,54.0
AGN_4124,AGN,21.0,31.0
AGN_4403,AGN,37.0,48.0
AGN_4604,AGN,59.0,34.0
AGN_5098,AGN,7.0,33.0
AGN_5353,AGN,32.0,54.0
AGN_5917,AGN,49.0,23.0
AGN_6252,AGN,63.0,26.0
AGN_6453,AGN,57.0,34.0
AGN_6609,AGN,19.0,52.0
AGN_6723,AGN,62.0,63.0
AGN_6875,AGN,11.0,41.0
AGN_6928,AGN,48.0,58.0
AGN_7364,AGN,45.0,10.0
