source_id,source_type,cartesian_y,cartesian_x
AGN_367,AGN,29.0,12.0
AGN_911,AGN,34.0,62.0
AGN_1014,AGN,62.0,20.0
AGN_1047,AGN,47.0,33.0
AGN_1194,AGN,39.0,16.0
AGN_1360,AGN,7.0,29.0
AGN_2381,AGN,26.0,19.0
AGN_2702,AGN,18.0,47.0
AGN_3591,AGN,45.0,58.0
AGN_3709,AGN,36.0,29.0
AGN_3711,AGN,46.0,48.0
AGN_3846,AGN,48.0,59.0
AGN_4303,AGN,2.0,22.0
AGN_4532,AGN,12.0,27.0
AGN_4549,AGN,58.0,8.0
AGN_4629,AGN,60.0,49.0
AGN_4746,AGN,60.0,24.0
AGN_5226,AGN,29.0,44.0
AGN_5393,AGN,12.0,49.0
AGN_6903,AGN,48.0,15.0
AGN_7123,AGN,36.0,29.0
AGN_7659,AGN,0.0,30.0
AGN_7719,AGN,43.0,7.0
