source_id,source_type,cartesian_y,cartesian_x
j1045.3+2751,AGN,13.0,122.0
j1050.6+2027,AGN,5.0,26.0
j1051.6+2109,AGN,10.0,34.0
j1054.5+2211,AGN,21.0,45.0
j1058.6+2817,AGN,51.0,118.0
j1059.5+2057,AGN,32.0,26.0
j1102.1+2249,AGN,45.0,48.0
j1104.0+2611,AGN,60.0,89.0
j1106.0+2813,AGN,71.0,113.0
j1109.3+2411,AGN,69.0,60.0
j1112.0+2607,AGN,82.0,83.0
j1116.6+2915,AGN,103.0,120.0
j1117.0+2013,AGN,81.0,6.0
j1117.6+2550,AGN,97.0,76.0
j1124.0+2336,AGN,110.0,45.0
j1124.0+2045,AGN,103.0,9.0
j1124.4+2308,AGN,110.0,38.0
j1124.9+2143,AGN,108.0,20.0
