source_id,source_type,cartesian_y,cartesian_x
AGN_642,AGN,105.0,119.0
AGN_779,AGN,57.0,106.0
AGN_810,AGN,86.0,83.0
AGN_1007,AGN,75.0,3.0
AGN_1431,AGN,81.0,126.0
AGN_2330,AGN,24.0,58.0
AGN_2339,AGN,96.0,104.0
AGN_2541,AGN,46.0,127.0
AGN_2667,AGN,22.0,65.0
AGN_2740,AGN,95.0,19.0
AGN_2797,AGN,118.0,79.0
AGN_2846,AGN,106.0,55.0
AGN_3743,AGN,33.0,74.0
AGN_3849,AGN,16.0,27.0
AGN_4156,AGN,85.0,8.0
AGN_4301,AGN,84.0,92.0
AGN_4377,AGN,52.0,8.0
AGN_4405,AGN,40.0,101.0
AGN_5268,AGN,62.0,44.0
AGN_5602,AGN,33.0,40.0
AGN_5804,AGN,21.0,88.0
AGN_6162,AGN,51.0,31.0
