source_id,source_type,cartesian_y,cartesian_x
AGN_314,AGN,26.0,30.0
AGN_576,AGN,3.0,57.0
AGN_702,AGN,1.0,45.0
AGN_1115,AGN,4.0,61.0
AGN_1309,AGN,15.0,51.0
AGN_1329,AGN,30.0,1.0
AGN_2338,AGN,5.0,29.0
AGN_2632,AGN,63.0,28.0
AGN_3068,AGN,30.0,29.0
AGN_3555,AGN,17.0,12.0
AGN_4139,AGN,29.0,3.0
AGN_4394,AGN,24.0,22.0
AGN_5178,AGN,11.0,39.0
AGN_5423,AGN,27.0,48.0
AGN_5475,AGN,47.0,34.0
AGN_5603,AGN,62.0,28.0
AGN_6011,AGN,14.0,14.0
AGN_6235,AGN,48.0,12.0
AGN_6393,AGN,33.0,23.0
AGN_6433,AGN,9.0,31.0
AGN_6479,AGN,59.0,41.0
AGN_7006,AGN,21.0,7.0
