source_id,source_type,cartesian_y,cartesian_x
AGN_496,AGN,41.0,49.0
AGN_511,AGN,36.0,41.0
AGN_664,AGN,5.0,8.0
AGN_673,AGN,14.0,14.0
AGN_872,AGN,17.0,12.0
AGN_1169,AGN,13.0,26.0
AGN_2347,AGN,29.0,28.0
AGN_2367,AGN,32.0,34.0
AGN_2876,AGN,8.0,19.0
AGN_3175,AGN,45.0,28.0
AGN_3248,AGN,23.0,61.0
AGN_3346,AGN,56.0,55.0
AGN_3758,AGN,20.0,30.0
AGN_4173,AGN,14.0,19.0
AGN_4587,AGN,38.0,11.0
AGN_4804,AGN,33.0,8.0
AGN_4987,AGN,48.0,49.0
AGN_5060,AGN,62.0,52.0
AGN_5162,AGN,7.0,8.0
AGN_5172,AGN,13.0,43.0
AGN_6074,AGN,1.0,20.0
