source_id,source_type,cartesian_y,cartesian_x
j1242.6+7635,AGN,49.0,11.0
j1242.9+7315,AGN,92.0,12.0
j1305.6+7853,AGN,19.0,24.0
j1317.6+7450,AGN,69.0,40.0
j1319.8+7759,AGN,29.0,35.0
j1330.2+7002,AGN,127.0,64.0
j1341.1+7433,AGN,68.0,60.0
j1346.3+7227,AGN,93.0,72.0
j1347.4+7309,AGN,84.0,71.0
j1354.2+6934,AGN,126.0,91.0
j1358.1+7642,AGN,38.0,65.0
j1412.1+7427,AGN,61.0,86.0
j1418.9+7731,AGN,23.0,75.0
j1428.8+7429,AGN,55.0,99.0
j1432.8+7648,AGN,27.0,88.0
j1435.3+7120,AGN,87.0,123.0
j1508.4+7717,AGN,8.0,106.0
