source_id,source_type,cartesian_y,cartesian_x
j1806.8+6949,AGN,122.0,77.0
j1821.6+6819,AGN,105.0,95.0
j1823.5+6858,AGN,103.0,87.0
j1842.3+6810,AGN,80.0,95.0
j1846.7+7238,AGN,84.0,38.0
j1848.5+6537,AGN,68.0,126.0
j1849.2+6705,AGN,70.0,108.0
j1853.8+6714,AGN,65.0,105.0
j1855.4+7350,AGN,78.0,21.0
j1858.1+7318,AGN,75.0,28.0
j1923.5+7354,AGN,54.0,15.0
j1934.3+6541,AGN,10.0,111.0
j1941.7+7218,AGN,32.0,28.0
j1949.2+7250,AGN,28.0,19.0
j1949.5+7311,AGN,29.0,15.0
j2001.7+7040,AGN,4.0,39.0
j2010.0+7229,AGN,8.0,14.0
