source_id,source_type,cartesian_y,cartesian_x
AGN_102,AGN,12.0,12.0
AGN_595,AGN,32.0,53.0
AGN_783,AGN,23.0,3.0
AGN_1505,AGN,24.0,24.0
AGN_2107,AGN,40.0,44.0
AGN_2916,AGN,52.0,37.0
AGN_3303,AGN,1.0,34.0
AGN_3545,AGN,16.0,25.0
AGN_3718,AGN,58.0,48.0
AGN_4043,AGN,39.0,9.0
AGN_4067,AGN,13.0,26.0
AGN_4103,AGN,27.0,39.0
AGN_4303,AGN,31.0,34.0
AGN_5355,AGN,51.0,36.0
AGN_5475,AGN,50.0,25.0
AGN_5483,AGN,24.0,51.0
AGN_5585,AGN,21.0,2.0
AGN_6093,AGN,56.0,13.0
AGN_6305,AGN,9.0,31.0
AGN_6307,AGN,50.0,46.0
AGN_7007,AGN,7.0,62.0
