source_id,source_type,cartesian_y,cartesian_x
AGN_552,AGN,62.0,3.0
AGN_690,AGN,22.0,38.0
AGN_886,AGN,44.0,8.0
AGN_1065,AGN,11.0,9.0
AGN_1147,AGN,30.0,5.0
AGN_1639,AGN,11.0,31.0
AGN_2461,AGN,38.0,29.0
AGN_3935,AGN,9.0,62.0
AGN_3968,AGN,37.0,15.0
AGN_4192,AGN,19.0,28.0
AGN_4881,AGN,45.0,34.0
AGN_5514,AGN,42.0,31.0
AGN_6497,AGN,18.0,54.0
AGN_6577,AGN,24.0,50.0
AGN_6889,AGN,47.0,14.0
AGN_6977,AGN,5.0,4.0
AGN_7706,AGN,54.0,1.0
AGN_7762,AGN,5.0,45.0
PSR_8,PSR,42.0,14.0
PSR_71,PSR,32.0,23.0
PSR_99,PSR,26.0,46.0
PSR_124,PSR,4.0,37.0
