source_id,source_type,cartesian_y,cartesian_x
AGN_235,AGN,22.0,32.0
AGN_241,AGN,22.0,16.0
AGN_336,AGN,37.0,120.0
AGN_560,AGN,113.0,123.0
AGN_956,AGN,101.0,117.0
AGN_1222,AGN,38.0,112.0
AGN_1287,AGN,122.0,98.0
AGN_1581,AGN,70.0,21.0
AGN_1896,AGN,13.0,62.0
AGN_1955,AGN,9.0,79.0
AGN_2017,AGN,18.0,125.0
AGN_2187,AGN,24.0,66.0
AGN_2367,AGN,124.0,35.0
AGN_2581,AGN,61.0,24.0
AGN_3159,AGN,81.0,94.0
AGN_3161,AGN,41.0,34.0
AGN_3349,AGN,79.0,101.0
AGN_3449,AGN,120.0,9.0
AGN_3635,AGN,27.0,19.0
AGN_4763,AGN,33.0,56.0
AGN_4939,AGN,73.0,32.0
PSR_6,PSR,61.0,92.0
PSR_119,PSR,62.0,92.0
PSR_131,PSR,48.0,112.0
