source_id,source_type,cartesian_y,cartesian_x
AGN_35,AGN,21.0,56.0
AGN_66,AGN,38.0,61.0
AGN_398,AGN,27.0,16.0
AGN_606,AGN,20.0,42.0
AGN_838,AGN,49.0,27.0
AGN_907,AGN,57.0,13.0
AGN_1144,AGN,2.0,55.0
AGN_1465,AGN,19.0,44.0
AGN_1649,AGN,38.0,6.0
AGN_2071,AGN,51.0,62.0
AGN_2101,AGN,5.0,45.0
AGN_2335,AGN,48.0,39.0
AGN_2806,AGN,63.0,55.0
AGN_2852,AGN,29.0,36.0
AGN_2955,AGN,55.0,9.0
AGN_3630,AGN,28.0,37.0
AGN_4454,AGN,54.0,20.0
AGN_4730,AGN,55.0,63.0
AGN_4883,AGN,47.0,12.0
AGN_5464,AGN,10.0,29.0
AGN_6773,AGN,52.0,63.0
AGN_6825,AGN,0.0,9.0
