source_id,source_type,cartesian_y,cartesian_x
AGN_38,AGN,75.0,2.0
AGN_81,AGN,68.0,90.0
AGN_580,AGN,88.0,94.0
AGN_1042,AGN,97.0,113.0
AGN_1091,AGN,65.0,53.0
AGN_1250,AGN,23.0,17.0
AGN_1419,AGN,20.0,91.0
AGN_1697,AGN,53.0,75.0
AGN_2049,AGN,93.0,6.0
AGN_2132,AGN,100.0,82.0
AGN_2182,AGN,48.0,98.0
AGN_2228,AGN,122.0,5.0
AGN_3012,AGN,116.0,50.0
AGN_3028,AGN,22.0,78.0
AGN_3216,AGN,13.0,6.0
AGN_3296,AGN,42.0,112.0
AGN_3364,AGN,88.0,8.0
AGN_4049,AGN,28.0,67.0
AGN_4370,AGN,3.0,55.0
AGN_5055,AGN,5.0,83.0
AGN_5154,AGN,83.0,50.0
