source_id,source_type,cartesian_y,cartesian_x
AGN_206,AGN,62.0,62.0
AGN_429,AGN,55.0,52.0
AGN_797,AGN,4.0,7.0
AGN_1079,AGN,9.0,49.0
AGN_1577,AGN,3.0,61.0
AGN_1768,AGN,36.0,8.0
AGN_2081,AGN,59.0,7.0
AGN_2160,AGN,39.0,43.0
AGN_3166,AGN,62.0,48.0
AGN_3862,AGN,62.0,34.0
AGN_4058,AGN,63.0,37.0
AGN_4178,AGN,0.0,53.0
AGN_4819,AGN,4.0,42.0
AGN_4951,AGN,37.0,4.0
AGN_5051,AGN,50.0,33.0
AGN_5492,AGN,41.0,39.0
AGN_5531,AGN,21.0,26.0
AGN_6294,AGN,47.0,51.0
AGN_6423,AGN,24.0,35.0
AGN_6952,AGN,11.0,46.0
AGN_6976,AGN,48.0,53.0
