source_id,source_type,cartesian_y,cartesian_x
AGN_458,AGN,38.0,46.0
AGN_543,AGN,43.0,1.0
AGN_992,AGN,30.0,60.0
AGN_2179,AGN,29.0,18.0
AGN_2611,AGN,11.0,57.0
AGN_2778,AGN,32.0,8.0
AGN_2830,AGN,29.0,61.0
AGN_3006,AGN,60.0,50.0
AGN_3082,AGN,4.0,12.0
AGN_3133,AGN,2.0,20.0
AGN_3274,AGN,25.0,15.0
AGN_3388,AGN,60.0,38.0
AGN_3996,AGN,48.0,0.0
AGN_4378,AGN,29.0,19.0
AGN_4768,AGN,3.0,41.0
AGN_5230,AGN,28.0,15.0
AGN_5342,AGN,49.0,57.0
AGN_5552,AGN,25.0,1.0
AGN_5559,AGN,61.0,39.0
AGN_6175,AGN,39.0,38.0
AGN_6726,AGN,22.0,20.0
AGN_7032,AGN,20.0,6.0
AGN_7084,AGN,12.0,23.0
