source_id,source_type,cartesian_y,cartesian_x
AGN_98,AGN,50.0,3.0
AGN_574,AGN,31.0,51.0
AGN_955,AGN,50.0,32.0
AGN_1283,AGN,60.0,31.0
AGN_1358,AGN,11.0,53.0
AGN_1793,AGN,14.0,16.0
AGN_1941,AGN,45.0,21.0
AGN_2153,AGN,25.0,58.0
AGN_2275,AGN,35.0,11.0
AGN_2383,AGN,6.0,47.0
AGN_3365,AGN,23.0,61.0
AGN_3494,AGN,14.0,4.0
AGN_4137,AGN,28.0,62.0
AGN_4231,AGN,16.0,27.0
AGN_4336,AGN,33.0,33.0
AGN_5910,AGN,58.0,22.0
AGN_5968,AGN,57.0,49.0
AGN_6425,AGN,25.0,63.0
AGN_6670,AGN,16.0,2.0
AGN_6753,AGN,24.0,12.0
AGN_6929,AGN,16.0,9.0
AGN_6966,AGN,30.0,0.0
AGN_7399,AGN,56.0,41.0
AGN_7531,AGN,1.0,9.0
