source_id,source_type,cartesian_y,cartesian_x
AGN_328,AGN,31.0,53.0
AGN_350,AGN,37.0,38.0
AGN_536,AGN,31.0,3.0
AGN_1789,AGN,26.0,27.0
AGN_1907,AGN,55.0,13.0
AGN_2092,AGN,57.0,38.0
AGN_2409,AGN,39.0,24.0
AGN_2809,AGN,7.0,43.0
AGN_3049,AGN,29.0,63.0
AGN_3220,AGN,53.0,33.0
AGN_3242,AGN,51.0,51.0
AGN_3380,AGN,22.0,59.0
AGN_3416,AGN,6.0,0.0
AGN_3714,AGN,60.0,8.0
AGN_4992,AGN,19.0,11.0
AGN_5137,AGN,56.0,47.0
AGN_5450,AGN,25.0,59.0
AGN_5526,AGN,30.0,59.0
AGN_6113,AGN,58.0,49.0
AGN_6769,AGN,5.0,49.0
AGN_7080,AGN,1.0,16.0
