source_id,source_type,cartesian_y,cartesian_x
j1039.6+0535,AGN,36.0,112.0
j1040.5+0617,AGN,44.0,116.0
j1041.5+0607,AGN,45.0,113.0
j1042.9+0054,AGN,2.0,61.0
j1043.6+0654,AGN,56.0,115.0
j1047.4+0031,AGN,10.0,47.0
j1047.9+0055,AGN,14.0,50.0
j1050.1+0432,AGN,51.0,79.0
j1051.9+0103,AGN,25.0,42.0
j1052.3+0818,AGN,89.0,110.0
j1055.5-0125,AGN,12.0,11.0
j1056.0+0253,AGN,51.0,51.0
j1057.8-0100,AGN,21.0,10.0
j1058.4+0133,AGN,45.0,33.0
j1104.0+0020,AGN,47.0,9.0
j1104.4+0730,AGN,110.0,76.0
j1107.6+0222,AGN,73.0,21.0
