source_id,source_type,cartesian_y,cartesian_x
AGN_27,AGN,22.0,48.0
AGN_206,AGN,21.0,38.0
AGN_228,AGN,30.0,37.0
AGN_333,AGN,35.0,32.0
AGN_429,AGN,15.0,27.0
AGN_441,AGN,31.0,42.0
AGN_565,AGN,4.0,45.0
AGN_864,AGN,48.0,45.0
AGN_1401,AGN,39.0,1.0
AGN_2160,AGN,2.0,16.0
AGN_3166,AGN,23.0,25.0
AGN_3188,AGN,54.0,15.0
AGN_3862,AGN,26.0,11.0
AGN_4058,AGN,26.0,14.0
AGN_4415,AGN,31.0,10.0
AGN_5051,AGN,14.0,8.0
AGN_5492,AGN,4.0,11.0
AGN_6011,AGN,28.0,19.0
AGN_6261,AGN,11.0,44.0
AGN_6294,AGN,8.0,25.0
AGN_6457,AGN,54.0,60.0
AGN_6617,AGN,50.0,34.0
AGN_6658,AGN,39.0,45.0
AGN_6976,AGN,9.0,27.0
AGN_7038,AGN,19.0,59.0
AGN_7120,AGN,37.0,58.0
AGN_7126,AGN,62.0,42.0
AGN_7416,AGN,49.0,59.0
AGN_7521,AGN,5.0,44.0
