source_id,source_type,cartesian_y,cartesian_x
j1016.4+7703,AGN,1.0,27.0
j1027.2+7427,AGN,32.0,11.0
j1031.1+7442,AGN,32.0,16.0
j1039.9+7326,AGN,49.0,12.0
j1045.9+7538,AGN,29.0,33.0
j1047.7+7238,AGN,62.0,13.0
j1048.4+7143,AGN,72.0,7.0
j1056.8+7012,AGN,93.0,3.0
j1101.3+7017,AGN,95.0,8.0
j1110.2+7135,AGN,85.0,24.0
j1123.8+7230,AGN,81.0,42.0
j1136.4+7009,AGN,113.0,41.0
j1209.4+7608,AGN,51.0,94.0
j1220.1+7105,AGN,116.0,89.0
j1223.9+7954,AGN,6.0,114.0
j1228.3+7521,AGN,64.0,107.0
j1242.6+7635,AGN,50.0,120.0
j1242.9+7315,AGN,92.0,116.0
