source_id,source_type,cartesian_y,cartesian_x
AGN_44,AGN,35.0,108.0
AGN_685,AGN,71.0,94.0
AGN_2434,AGN,20.0,53.0
AGN_3079,AGN,86.0,1.0
AGN_3282,AGN,62.0,119.0
AGN_3836,AGN,90.0,67.0
AGN_4113,AGN,58.0,43.0
AGN_4497,AGN,23.0,102.0
AGN_4974,AGN,98.0,54.0
AGN_5404,AGN,82.0,61.0
AGN_5508,AGN,47.0,100.0
AGN_5544,AGN,108.0,78.0
AGN_6326,AGN,29.0,69.0
AGN_6736,AGN,63.0,68.0
AGN_6847,AGN,39.0,26.0
AGN_6934,AGN,121.0,5.0
AGN_7118,AGN,74.0,43.0
AGN_7246,AGN,92.0,66.0
AGN_7280,AGN,45.0,112.0
AGN_7634,AGN,84.0,57.0
