source_id,source_type,cartesian_y,cartesian_x
j0654.3+5042,AGN,19.0,101.0
j0704.7+4508,AGN,19.0,26.0
j0704.8+4907,AGN,34.0,75.0
j0705.9+5309,AGN,51.0,124.0
j0708.9+4839,AGN,40.0,67.0
j0710.9+4733,AGN,41.0,52.0
j0712.7+5033,AGN,54.0,88.0
j0718.0+4536,AGN,50.0,24.0
j0727.4+5325,AGN,91.0,117.0
j0728.2+4827,AGN,79.0,54.0
j0733.0+4915,AGN,91.0,62.0
j0733.4+5152,AGN,99.0,95.0
j0734.0+5021,AGN,96.0,76.0
j0742.1+4902,AGN,110.0,56.0
j0747.2+4529,AGN,113.0,9.0
j0748.3+4928,AGN,123.0,60.0
j0749.3+4453,AGN,117.0,1.0
