source_id,source_type,cartesian_y,cartesian_x
AGN_357,AGN,91.0,66.0
AGN_474,AGN,127.0,6.0
AGN_1052,AGN,16.0,59.0
AGN_1478,AGN,103.0,1.0
AGN_1677,AGN,47.0,75.0
AGN_1740,AGN,86.0,59.0
AGN_1748,AGN,62.0,5.0
AGN_1871,AGN,36.0,81.0
AGN_2757,AGN,78.0,54.0
AGN_2798,AGN,81.0,103.0
AGN_3519,AGN,82.0,62.0
AGN_3795,AGN,68.0,23.0
AGN_4124,AGN,20.0,64.0
AGN_4217,AGN,44.0,51.0
AGN_4229,AGN,9.0,67.0
AGN_4347,AGN,110.0,80.0
AGN_4965,AGN,80.0,75.0
AGN_5245,AGN,30.0,109.0
AGN_5271,AGN,94.0,117.0
AGN_5327,AGN,120.0,18.0
AGN_6077,AGN,51.0,112.0
