source_id,source_type,cartesian_y,cartesian_x
AGN_178,AGN,65.0,49.0
AGN_243,AGN,51.0,74.0
AGN_386,AGN,102.0,104.0
AGN_701,AGN,89.0,65.0
AGN_732,AGN,79.0,49.0
AGN_793,AGN,108.0,113.0
AGN_1819,AGN,90.0,61.0
AGN_2463,AGN,91.0,101.0
AGN_2929,AGN,19.0,17.0
AGN_2957,AGN,56.0,73.0
AGN_2962,AGN,55.0,118.0
AGN_3084,AGN,109.0,53.0
AGN_3428,AGN,6.0,46.0
AGN_3854,AGN,43.0,35.0
AGN_4255,AGN,30.0,41.0
AGN_5074,AGN,74.0,37.0
AGN_5279,AGN,49.0,53.0
AGN_5297,AGN,126.0,76.0
AGN_5397,AGN,39.0,71.0
AGN_5786,AGN,17.0,21.0
