source_id,source_type,cartesian_y,cartesian_x
AGN_1211,AGN,27.0,37.0
AGN_1689,AGN,35.0,39.0
AGN_1955,AGN,51.0,32.0
AGN_3050,AGN,31.0,8.0
AGN_3346,AGN,25.0,37.0
AGN_3410,AGN,6.0,45.0
AGN_3416,AGN,35.0,0.0
AGN_3837,AGN,57.0,57.0
AGN_3955,AGN,37.0,42.0
AGN_4161,AGN,40.0,52.0
AGN_4258,AGN,17.0,12.0
AGN_4491,AGN,43.0,19.0
AGN_4603,AGN,13.0,2.0
AGN_6119,AGN,15.0,46.0
AGN_6260,AGN,38.0,21.0
AGN_6435,AGN,30.0,52.0
AGN_6545,AGN,55.0,10.0
AGN_6557,AGN,53.0,40.0
AGN_6909,AGN,61.0,35.0
AGN_6951,AGN,35.0,41.0
AGN_7125,AGN,28.0,54.0
