source_id,source_type,cartesian_y,cartesian_x
AGN_310,AGN,57.0,59.0
AGN_314,AGN,53.0,17.0
AGN_355,AGN,48.0,39.0
AGN_619,AGN,40.0,44.0
AGN_1037,AGN,36.0,36.0
AGN_1173,AGN,27.0,32.0
AGN_1235,AGN,34.0,42.0
AGN_1819,AGN,50.0,32.0
AGN_1940,AGN,26.0,18.0
AGN_2350,AGN,52.0,17.0
AGN_2463,AGN,47.0,2.0
AGN_3984,AGN,20.0,55.0
AGN_4327,AGN,59.0,44.0
AGN_4481,AGN,41.0,5.0
AGN_4647,AGN,61.0,20.0
AGN_4661,AGN,25.0,31.0
AGN_4872,AGN,46.0,21.0
AGN_5487,AGN,58.0,7.0
AGN_5656,AGN,36.0,8.0
AGN_6098,AGN,28.0,36.0
AGN_6578,AGN,19.0,9.0
AGN_7282,AGN,26.0,55.0
AGN_7295,AGN,33.0,56.0
AGN_7465,AGN,38.0,2.0
AGN_7530,AGN,50.0,14.0
