source_id,source_type,cartesian_y,cartesian_x
AGN_768,AGN,33.0,21.0
AGN_800,AGN,55.0,21.0
AGN_1325,AGN,10.0,43.0
AGN_1488,AGN,55.0,25.0
AGN_1533,AGN,3.0,52.0
AGN_1769,AGN,16.0,28.0
AGN_2015,AGN,3.0,25.0
AGN_2145,AGN,6.0,4.0
AGN_2165,AGN,30.0,56.0
AGN_2362,AGN,4.0,30.0
AGN_2883,AGN,63.0,17.0
AGN_3464,AGN,1.0,63.0
AGN_3976,AGN,53.0,32.0
AGN_4285,AGN,43.0,21.0
AGN_4542,AGN,13.0,61.0
AGN_4673,AGN,22.0,7.0
AGN_5586,AGN,40.0,51.0
AGN_5618,AGN,53.0,40.0
AGN_5825,AGN,21.0,27.0
AGN_6012,AGN,40.0,29.0
AGN_6937,AGN,52.0,38.0
AGN_7037,AGN,15.0,48.0
AGN_7178,AGN,27.0,24.0
AGN_7681,AGN,22.0,61.0
