source_id,source_type,cartesian_y,cartesian_x
AGN_358,AGN,14.0,63.0
AGN_629,AGN,12.0,105.0
AGN_698,AGN,24.0,88.0
AGN_990,AGN,61.0,102.0
AGN_1105,AGN,72.0,27.0
AGN_1288,AGN,85.0,50.0
AGN_1921,AGN,91.0,41.0
AGN_2016,AGN,75.0,113.0
AGN_2076,AGN,111.0,58.0
AGN_2277,AGN,83.0,82.0
AGN_2509,AGN,108.0,44.0
AGN_2566,AGN,109.0,120.0
AGN_2589,AGN,93.0,108.0
AGN_2738,AGN,97.0,119.0
AGN_2842,AGN,125.0,82.0
AGN_2938,AGN,112.0,65.0
AGN_3226,AGN,90.0,17.0
AGN_4339,AGN,127.0,107.0
AGN_4480,AGN,118.0,14.0
AGN_4741,AGN,43.0,85.0
AGN_5213,AGN,96.0,109.0
PSR_47,PSR,58.0,46.0
PSR_76,PSR,70.0,103.0
