source_id,source_type,cartesian_y,cartesian_x
AGN_628,AGN,78.0,34.0
AGN_929,AGN,106.0,115.0
AGN_1180,AGN,8.0,68.0
AGN_1569,AGN,31.0,22.0
AGN_1835,AGN,28.0,47.0
AGN_1902,AGN,33.0,55.0
AGN_1914,AGN,24.0,44.0
AGN_2158,AGN,120.0,100.0
AGN_2683,AGN,23.0,2.0
AGN_2705,AGN,52.0,59.0
AGN_3163,AGN,6.0,108.0
AGN_3391,AGN,70.0,76.0
AGN_3652,AGN,102.0,124.0
AGN_3729,AGN,85.0,91.0
AGN_4010,AGN,105.0,121.0
AGN_4873,AGN,79.0,94.0
AGN_5030,AGN,100.0,85.0
AGN_5488,AGN,65.0,102.0
AGN_5514,AGN,47.0,74.0
AGN_6108,AGN,106.0,32.0
AGN_6185,AGN,113.0,72.0
